地方コード,沿線コード,駅コード,沿線,新沿線,駅名,新駅名,Temp,Temp2,沿線CD,駅CD,沿線名,駅名,都道府県名,地方名
1,51,380,函館本線,函館線,峰延,峰延,,,4010,54360,ＪＲ函館本線,峰延,北海道,北海道
1,51,385,函館本線,函館線,光珠内,光珠内,,,4010,54365,ＪＲ函館本線,光珠内,北海道,北海道
1,51,390,函館本線,函館線,美唄,美唄,,,4010,54370,ＪＲ函館本線,美唄,北海道,北海道
1,51,395,函館本線,函館線,茶志内,茶志内,,,4010,54375,ＪＲ函館本線,茶志内,北海道,北海道
1,51,400,函館本線,函館線,奈井江,奈井江,,,4010,54380,ＪＲ函館本線,奈井江,北海道,北海道
1,51,405,函館本線,函館線,豊沼,豊沼,,,4010,54385,ＪＲ函館本線,豊沼,北海道,北海道
1,51,430,函館本線,函館線,砂川,砂川,,,4010,54390,ＪＲ函館本線,砂川,北海道,北海道
1,51,435,函館本線,函館線,滝川,滝川,1,13,4010,54425,ＪＲ函館本線,滝川,北海道,北海道
1,51,440,函館本線,函館線,江部乙,江部乙,,,4010,54395,ＪＲ函館本線,江部乙,北海道,北海道
1,51,445,函館本線,函館線,妹背牛,妹背牛,,,4010,54400,ＪＲ函館本線,妹背牛,北海道,北海道
1,51,450,函館本線,函館線,深川,深川,1,14,4010,54430,ＪＲ函館本線,深川,北海道,北海道
1,51,455,函館本線,函館線,納内,納内,,,4010,54405,ＪＲ函館本線,納内,北海道,北海道
1,51,465,函館本線,函館線,近文,近文,,,4010,54415,ＪＲ函館本線,近文,北海道,北海道
1,51,470,函館本線,函館線,旭川,旭川,1,15,4010,54435,ＪＲ函館本線,旭川,北海道,北海道
1,55,5,札沼線,札沼線,札幌,札幌,1,8,4000,16390,ＪＲ札沼線,札幌,北海道,北海道
1,55,10,札沼線,札沼線,桑園,桑園,1,7,4000,21600,ＪＲ札沼線,桑園,北海道,北海道
1,55,13,札沼線,札沼線,八軒,八軒,,,4000,30690,ＪＲ札沼線,八軒,北海道,北海道
1,55,15,札沼線,札沼線,新川,新川,,,4000,19280,ＪＲ札沼線,新川,北海道,北海道
1,55,20,札沼線,札沼線,新琴似,新琴似,,,4000,19540,ＪＲ札沼線,新琴似,北海道,北海道
1,55,23,札沼線,札沼線,太平,太平,,,4000,22050,ＪＲ札沼線,太平,北海道,北海道
1,55,26,札沼線,札沼線,百合が原,百合が原,,,4000,40780,ＪＲ札沼線,百合が原,北海道,北海道
1,55,30,札沼線,札沼線,篠路,篠路,,,4000,17550,ＪＲ札沼線,篠路,北海道,北海道
1,55,40,札沼線,札沼線,拓北,拓北,,,4000,22830,ＪＲ札沼線,拓北,北海道,北海道
1,55,45,札沼線,札沼線,あいの里教育大,あいの里教,,,4000,100,ＪＲ札沼線,あいの里教育大,北海道,北海道
1,55,50,札沼線,札沼線,あいの里公園,あいの里公,,,4000,110,ＪＲ札沼線,あいの里公園,北海道,北海道
1,55,60,札沼線,札沼線,石狩太美,石狩太美,,,4000,2170,ＪＲ札沼線,石狩太美,北海道,北海道
1,55,70,札沼線,札沼線,石狩当別,石狩当別,,,4000,2160,ＪＲ札沼線,石狩当別,北海道,北海道
1,55,80,札沼線,札沼線,北海道医療大学,北海道医療,,,4000,35100,ＪＲ札沼線,北海道医療大学,北海道,北海道
1,56,10,千歳線,千歳線,札幌,札幌,1,8,4006,16390,ＪＲ千歳線,札幌,北海道,北海道
1,56,20,千歳線,千歳線,苗穂,苗穂,1,9,4006,26810,ＪＲ千歳線,苗穂,北海道,北海道
1,56,30,千歳線,千歳線,白石,白石,1,10,4006,18900,ＪＲ千歳線,白石,北海道,北海道
1,56,35,千歳線,千歳線,平和,平和,,,4006,34640,ＪＲ千歳線,平和,北海道,北海道
1,56,40,千歳線,千歳線,新札幌,新札幌,1,17,4006,19620,ＪＲ千歳線,新札幌,北海道,北海道
1,56,50,千歳線,千歳線,上野幌,上野幌,,,4006,9320,ＪＲ千歳線,上野幌,北海道,北海道
1,56,60,千歳線,千歳線,北広島,北広島,,,4006,11530,ＪＲ千歳線,北広島,北海道,北海道
1,56,70,千歳線,千歳線,島松,島松,,,4006,17710,ＪＲ千歳線,島松,北海道,北海道
1,56,80,千歳線,千歳線,恵み野,恵み野,,,4006,39100,ＪＲ千歳線,恵み野,北海道,北海道
1,56,90,千歳線,千歳線,恵庭,恵庭,,,4006,4970,ＪＲ千歳線,恵庭,北海道,北海道
1,56,95,千歳線,千歳線,サッポロビール庭園,サッポロビ,,,4006,16400,ＪＲ千歳線,サッポロビール庭園,北海道,北海道
1,56,100,千歳線,千歳線,長都,長都,,,4006,6810,ＪＲ千歳線,長都,北海道,北海道
1,56,110,千歳線,千歳線,千歳,千歳,,,4006,24120,ＪＲ千歳線,千歳,北海道,北海道
1,56,120,千歳線,千歳線,南千歳,南千歳,1,18,4006,37660,ＪＲ千歳線,南千歳,北海道,北海道
1,56,125,千歳線,千歳線,新千歳空港,新千歳空港,,,4006,19850,ＪＲ千歳線,新千歳空港,北海道,北海道
1,56,140,千歳線,千歳線,植苗,植苗,,,4006,4020,ＪＲ千歳線,植苗,北海道,北海道
1,56,150,千歳線,千歳線,沼ノ端,沼ノ端,1,19,4006,29820,ＪＲ千歳線,沼ノ端,北海道,北海道
1,56,160,千歳線,千歳線,苫小牧,苫小牧,1,20,4006,26360,ＪＲ千歳線,苫小牧,北海道,北海道
1,57,10,石勝線,石勝線,南千歳,南千歳,1,18,4075,37660,ＪＲ石勝線,南千歳,北海道,北海道
1,57,20,石勝線,石勝線,追分,追分,1,21,4075,54685,ＪＲ石勝線,追分,北海道,北海道
1,57,40,石勝線,石勝線,川端,川端,,,4075,54630,ＪＲ石勝線,川端,北海道,北海道
1,57,50,石勝線,石勝線,滝ノ上,滝ノ上,,,4075,54635,ＪＲ石勝線,滝ノ上,北海道,北海道
1,57,70,石勝線,石勝線,新夕張,新夕張,,,4075,54645,ＪＲ石勝線,新夕張,北海道,北海道
1,57,140,石勝線,石勝線,占冠,占冠,,,4075,54675,ＪＲ石勝線,占冠,北海道,北海道
1,57,150,石勝線,石勝線,トマム,トマム,,,4075,54680,ＪＲ石勝線,トマム,北海道,北海道
1,57,160,石勝線,石勝線,新得,新得,1,23,4075,54690,ＪＲ石勝線,新得,北海道,北海道
1,61,10,室蘭本線,室蘭線,長万部,長万部,1,4,4015,54910,ＪＲ室蘭本線,長万部,北海道,北海道
1,61,20,室蘭本線,室蘭線,静狩,静狩,,,4015,54700,ＪＲ室蘭本線,静狩,北海道,北海道
1,61,25,室蘭本線,室蘭線,小幌,小幌,,,4015,54705,ＪＲ室蘭本線,小幌,北海道,北海道
1,61,30,室蘭本線,室蘭線,礼文,礼文,,,4015,54710,ＪＲ室蘭本線,礼文,北海道,北海道
1,61,40,室蘭本線,室蘭線,大岸,大岸,,,4015,54715,ＪＲ室蘭本線,大岸,北海道,北海道
1,61,50,室蘭本線,室蘭線,豊浦,豊浦,,,4015,54720,ＪＲ室蘭本線,豊浦,北海道,北海道
1,61,60,室蘭本線,室蘭線,洞爺,洞爺,,,4015,54725,ＪＲ室蘭本線,洞爺,北海道,北海道
1,61,70,室蘭本線,室蘭線,有珠,有珠,,,4015,54730,ＪＲ室蘭本線,有珠,北海道,北海道
1,61,80,室蘭本線,室蘭線,長和,長和,,,4015,54735,ＪＲ室蘭本線,長和,北海道,北海道
1,61,90,室蘭本線,室蘭線,伊達紋別,伊達紋別,,,4015,54740,ＪＲ室蘭本線,伊達紋別,北海道,北海道
1,61,95,室蘭本線,室蘭線,北舟岡,北舟岡,,,4015,54745,ＪＲ室蘭本線,北舟岡,北海道,北海道
1,61,100,室蘭本線,室蘭線,稀府,稀府,,,4015,54750,ＪＲ室蘭本線,稀府,北海道,北海道
1,61,110,室蘭本線,室蘭線,黄金,黄金,,,4015,54755,ＪＲ室蘭本線,黄金,北海道,北海道
1,61,120,室蘭本線,室蘭線,崎守,崎守,,,4015,54760,ＪＲ室蘭本線,崎守,北海道,北海道
1,61,130,室蘭本線,室蘭線,本輪西,本輪西,,,4015,54765,ＪＲ室蘭本線,本輪西,北海道,北海道
1,61,140,室蘭本線,室蘭線,室蘭,室蘭,,,4015,54770,ＪＲ室蘭本線,室蘭,北海道,北海道
1,61,150,室蘭本線,室蘭線,母恋,母恋,,,4015,54775,ＪＲ室蘭本線,母恋,北海道,北海道
1,61,160,室蘭本線,室蘭線,御崎,御崎,,,4015,54780,ＪＲ室蘭本線,御崎,北海道,北海道
