沿線CD	駅CD	沿線名	駅名	都道府県名
4090	55305	ＪＲ根室本線	浦幌	北海道
4090	55315	ＪＲ根室本線	厚内	北海道
4090	55330	ＪＲ根室本線	音別	北海道
4090	55340	ＪＲ根室本線	白糠	北海道
4090	55345	ＪＲ根室本線	西庶路	北海道
4090	55350	ＪＲ根室本線	庶路	北海道
4090	55355	ＪＲ根室本線	大楽毛	北海道
4090	55360	ＪＲ根室本線	新大楽毛	北海道
4090	55365	ＪＲ根室本線	新富士	北海道
4090	55480	ＪＲ根室本線	釧路	北海道
4090	55465	ＪＲ根室本線	東釧路	北海道
4090	55370	ＪＲ根室本線	武佐	北海道
4090	55375	ＪＲ根室本線	別保	北海道
4090	55380	ＪＲ根室本線	上尾幌	北海道
4090	55385	ＪＲ根室本線	尾幌	北海道
4090	55390	ＪＲ根室本線	門静	北海道
4090	55395	ＪＲ根室本線	厚岸	北海道
4090	55400	ＪＲ根室本線	糸魚沢	北海道
4090	55405	ＪＲ根室本線	茶内	北海道
4090	55410	ＪＲ根室本線	浜中	北海道
4090	55415	ＪＲ根室本線	姉別	北海道
4090	55420	ＪＲ根室本線	厚床	北海道
4090	55430	ＪＲ根室本線	別当賀	北海道
4090	55435	ＪＲ根室本線	落石	北海道
4090	55440	ＪＲ根室本線	昆布盛	北海道
4090	55445	ＪＲ根室本線	西和田	北海道
4090	55455	ＪＲ根室本線	東根室	北海道
4090	55460	ＪＲ根室本線	根室	北海道
4095	54435	ＪＲ富良野線	旭川	北海道
4095	55485	ＪＲ富良野線	神楽岡	北海道
4095	55490	ＪＲ富良野線	緑が丘	北海道
4095	55495	ＪＲ富良野線	西御料	北海道
4095	55500	ＪＲ富良野線	西瑞穂	北海道
4095	55505	ＪＲ富良野線	西神楽	北海道
4095	55510	ＪＲ富良野線	西聖和	北海道
4095	55515	ＪＲ富良野線	千代ヶ岡	北海道
4095	55520	ＪＲ富良野線	北美瑛	北海道
4095	55525	ＪＲ富良野線	美瑛	北海道
4095	55530	ＪＲ富良野線	美馬牛	北海道
4095	55535	ＪＲ富良野線	上富良野	北海道
4095	55540	ＪＲ富良野線	西中	北海道
4095	55543	ＪＲ富良野線	ラベンダー畑	北海道
4095	55545	ＪＲ富良野線	中富良野	北海道
4095	55550	ＪＲ富良野線	鹿討	北海道
4095	55555	ＪＲ富良野線	学田	北海道
4095	55470	ＪＲ富良野線	富良野	北海道
4105	54435	ＪＲ宗谷本線	旭川	北海道
4105	55985	ＪＲ宗谷本線	旭川四条	北海道
4105	55980	ＪＲ宗谷本線	新旭川	北海道
4105	55720	ＪＲ宗谷本線	永山	北海道
4105	55725	ＪＲ宗谷本線	北永山	北海道
4105	55730	ＪＲ宗谷本線	南比布	北海道
4105	55735	ＪＲ宗谷本線	比布	北海道
4105	55740	ＪＲ宗谷本線	北比布	北海道
4105	55745	ＪＲ宗谷本線	蘭留	北海道
4105	55750	ＪＲ宗谷本線	塩狩	北海道
4105	55755	ＪＲ宗谷本線	和寒	北海道
4105	55760	ＪＲ宗谷本線	東六線	北海道
4105	55765	ＪＲ宗谷本線	剣淵	北海道
4105	55770	ＪＲ宗谷本線	北剣淵	北海道
4105	55775	ＪＲ宗谷本線	士別	北海道
4105	55780	ＪＲ宗谷本線	下士別	北海道
4105	55785	ＪＲ宗谷本線	多寄	北海道
4105	55790	ＪＲ宗谷本線	瑞穂	北海道
4105	55795	ＪＲ宗谷本線	風連	北海道
4105	55800	ＪＲ宗谷本線	東風連	北海道
4105	55805	ＪＲ宗谷本線	名寄	北海道
4105	55810	ＪＲ宗谷本線	日進	北海道
4105	55820	ＪＲ宗谷本線	北星	北海道
4105	55825	ＪＲ宗谷本線	智恵文	北海道
4105	55830	ＪＲ宗谷本線	智北	北海道
4105	55835	ＪＲ宗谷本線	南美深	北海道
4105	55840	ＪＲ宗谷本線	美深	北海道
4105	55845	ＪＲ宗谷本線	初野	北海道
4105	55850	ＪＲ宗谷本線	紋穂内	北海道
4105	55855	ＪＲ宗谷本線	恩根内	北海道
4105	55860	ＪＲ宗谷本線	豊清水	北海道
4105	55865	ＪＲ宗谷本線	天塩川温泉	北海道
4105	55870	ＪＲ宗谷本線	咲来	北海道
4105	55875	ＪＲ宗谷本線	音威子府	北海道
4105	55880	ＪＲ宗谷本線	筬島	北海道
4105	55885	ＪＲ宗谷本線	佐久	北海道
4105	55890	ＪＲ宗谷本線	天塩中川	北海道
4105	55895	ＪＲ宗谷本線	歌内	北海道
4105	55900	ＪＲ宗谷本線	問寒別	北海道
4105	55905	ＪＲ宗谷本線	糠南	北海道
4105	55910	ＪＲ宗谷本線	雄信内	北海道
4105	55915	ＪＲ宗谷本線	安牛	北海道
4105	55920	ＪＲ宗谷本線	南幌延	北海道
4105	55925	ＪＲ宗谷本線	上幌延	北海道
4105	55930	ＪＲ宗谷本線	幌延	北海道
4105	55940	ＪＲ宗谷本線	下沼	北海道
4105	55945	ＪＲ宗谷本線	豊富	北海道
4105	55950	ＪＲ宗谷本線	徳満	北海道
4105	55955	ＪＲ宗谷本線	兜沼	北海道
4105	55960	ＪＲ宗谷本線	勇知	北海道
4105	55965	ＪＲ宗谷本線	抜海	北海道
4105	55970	ＪＲ宗谷本線	南稚内	北海道
4105	55975	ＪＲ宗谷本線	稚内	北海道
4110	54435	ＪＲ石北本線	旭川	北海道
4110	55985	ＪＲ石北本線	旭川四条	北海道
4110	55980	ＪＲ石北本線	新旭川	北海道
4110	55990	ＪＲ石北本線	南永山	北海道
4110	55995	ＪＲ石北本線	東旭川	北海道
4110	56000	ＪＲ石北本線	北日ノ出	北海道
4110	56005	ＪＲ石北本線	桜岡	北海道
4110	56010	ＪＲ石北本線	当麻	北海道
4110	56015	ＪＲ石北本線	将軍山	北海道
4110	56020	ＪＲ石北本線	伊香牛	北海道
4110	56025	ＪＲ石北本線	愛別	北海道
4110	56030	ＪＲ石北本線	中愛別	北海道
4110	56035	ＪＲ石北本線	愛山	北海道
4110	56040	ＪＲ石北本線	安足間	北海道
4110	56045	ＪＲ石北本線	東雲	北海道
4110	56050	ＪＲ石北本線	上川	北海道
4110	56060	ＪＲ石北本線	白滝	北海道
4110	56075	ＪＲ石北本線	丸瀬布	北海道
4110	56080	ＪＲ石北本線	瀬戸瀬	北海道
4110	56090	ＪＲ石北本線	遠軽	北海道
4110	56095	ＪＲ石北本線	安国	北海道
4110	56100	ＪＲ石北本線	生野	北海道
4110	56105	ＪＲ石北本線	生田原	北海道
4110	56115	ＪＲ石北本線	西留辺蘂	北海道
4110	56120	ＪＲ石北本線	留辺蘂	北海道
4110	56125	ＪＲ石北本線	相内	北海道
4110	56130	ＪＲ石北本線	東相内	北海道
4110	56135	ＪＲ石北本線	西北見	北海道
4110	55715	ＪＲ石北本線	北見	北海道
4110	56140	ＪＲ石北本線	柏陽	北海道
4110	56145	ＪＲ石北本線	愛し野	北海道
4110	56150	ＪＲ石北本線	端野	北海道
4110	56155	ＪＲ石北本線	緋牛内	北海道
4110	56160	ＪＲ石北本線	美幌	北海道
4110	56165	ＪＲ石北本線	西女満別	北海道
4110	56170	ＪＲ石北本線	女満別	北海道
4110	56175	ＪＲ石北本線	呼人	北海道
4110	56180	ＪＲ石北本線	網走	北海道
4115	56180	ＪＲ釧網本線	網走	北海道
4115	56185	ＪＲ釧網本線	桂台	北海道
4115	56190	ＪＲ釧網本線	鱒浦	北海道
4115	56195	ＪＲ釧網本線	藻琴	北海道
4115	56200	ＪＲ釧網本線	北浜	北海道
4115	56205	ＪＲ釧網本線	原生花園	北海道
4115	56210	ＪＲ釧網本線	浜小清水	北海道
4115	56215	ＪＲ釧網本線	止別	北海道
4115	56220	ＪＲ釧網本線	知床斜里	北海道
4115	56225	ＪＲ釧網本線	中斜里	北海道
4115	56230	ＪＲ釧網本線	南斜里	北海道
4115	56235	ＪＲ釧網本線	清里町	北海道
4115	56240	ＪＲ釧網本線	札弦	北海道
4115	56245	ＪＲ釧網本線	緑	北海道
4115	56250	ＪＲ釧網本線	川湯温泉	北海道
4115	56255	ＪＲ釧網本線	美留和	北海道
4115	56260	ＪＲ釧網本線	摩周	北海道
4115	56270	ＪＲ釧網本線	磯分内	北海道
4115	56275	ＪＲ釧網本線	標茶	北海道
4115	56285	ＪＲ釧網本線	茅沼	北海道
4115	56290	ＪＲ釧網本線	塘路	北海道
4115	56295	ＪＲ釧網本線	細岡	北海道
4115	56300	ＪＲ釧網本線	釧路湿原	北海道
4115	56305	ＪＲ釧網本線	遠矢	北海道
4115	55465	ＪＲ釧網本線	東釧路	北海道
4115	55480	ＪＲ釧網本線	釧路	北海道
4060	00790	地下鉄南北線	麻生	北海道
4060	11200	地下鉄南北線	北３４条	北海道
4060	11410	地下鉄南北線	北２４条	北海道
4060	11250	地下鉄南北線	北１８条	北海道
4060	11240	地下鉄南北線	北１２条	北海道
4060	16380	地下鉄南北線	さっぽろ	北海道
4060	06070	地下鉄南北線	大通	北海道
4060	20690	地下鉄南北線	すすきの	北海道
4060	27100	地下鉄南北線	中島公園	北海道
4060	35250	地下鉄南北線	幌平橋	北海道
4060	27330	地下鉄南北線	中の島	北海道
4060	33250	地下鉄南北線	平岸	北海道
4060	37740	地下鉄南北線	南平岸	北海道
4060	20820	地下鉄南北線	澄川	北海道
